smiles,pIC50,patent_cie,target_2targs_power6_seed19_targid0_continuous,target_2targs_power6_seed19_targid0,target_2targs_power6_seed19_targid1_continuous,target_2targs_power6_seed19_targid1,target_1targs_power6_seed19_targid0_continuous,target_1targs_power6_seed19_targid0,target_1targs_power6_seed20_targid0_continuous,target_1targs_power6_seed20_targid0,target_1targs_power6_seed21_targid0_continuous,target_1targs_power6_seed21_targid0,target_1targs_power6_seed22_targid0_continuous,target_1targs_power6_seed22_targid0,target_1targs_power6_seed23_targid0_continuous,target_1targs_power6_seed23_targid0,target_2targs_power15_seed19_targid0_continuous,target_2targs_power15_seed19_targid0,target_2targs_power15_seed19_targid1_continuous,target_2targs_power15_seed19_targid1,target_1targs_power15_seed19_targid0_continuous,target_1targs_power15_seed19_targid0,target_1targs_power15_seed20_targid0_continuous,target_1targs_power15_seed20_targid0,target_1targs_power15_seed21_targid0_continuous,target_1targs_power15_seed21_targid0,target_1targs_power15_seed22_targid0_continuous,target_1targs_power15_seed22_targid0,target_1targs_power15_seed23_targid0_continuous,target_1targs_power15_seed23_targid0
Cc1cc2nn(CC(=O)N3CCN(CC3)C(=O)c3ccccc3)cc2cc1NC(=O)c1cccc(n1)C(F)(F)F,6.954677021213343,bayer,0.48892826,0.0,0.5476078,0.0,1.0495617,0,0.7218071,0,1.9087385,1,0.89897424,0,1.0107225,0,0.91190606,1,1.1988733,1,0.9177758,0,0.91886127,1,0.81066096,0,1.1166722,1,1.0128951,0
CCc1cccc(n1)C(=O)Nc1cc2cn(CC(=O)N3CCC(CC3)N3CCCC3)nc2cc1C,6.596879478824183,bayer,0.84606314,0.0,1.0270263,1.0,0.9225376,0,0.933613,1,1.1588808,1,0.68749434,0,0.9546177,0,0.9288746,1,1.2318745,1,0.9379267,1,0.9249093,1,0.778342,0,1.1068729,0,1.0100012,0
Cc1cc2nn(CC(=O)N3CCC(CC3)N3CCCC3)cc2cc1NC(=O)c1ccc(F)cn1,5.3966390756516205,bayer,1.164428,,1.3748794,,0.77377135,0,1.2225845,1,0.646967,0,0.83396006,0,0.9691744,0,0.91949177,1,1.2220685,1,0.9304575,1,0.93157077,1,0.79582584,0,1.1156397,1,1.0115418,0
Cc1cc2nn(CC(=O)N3CCN(CC3)C(=O)C(C)(C)CO)cc2cc1NC(=O)c1cccc(n1)C(F)(F)F,6.6252516539898965,bayer,1.8306186,,1.639928,,0.9031229,0,1.0884908,1,0.4681098,0,1.4931319,1,0.95351195,0,0.9356232,1,1.2190719,1,0.8966701,0,0.9229984,1,0.8311904,1,1.0727205,0,1.0171373,1
COCC(=O)N1CCN(CC1)C(=O)Cn1cc2cc(NC(=O)c3cccc(n3)C(F)(F)F)c(C)cc2n1,6.179142010560301,bayer,0.8474429,0.0,1.1540117,1.0,0.94671106,0,0.8083274,0,2.0291438,1,0.7362112,0,1.009608,0,0.9213791,1,1.2079716,1,0.9196501,0,0.9203621,1,0.8344792,1,1.094758,0,1.0171827,1
COc1cc2nn(CC(=O)N3CCC(CC3)C(C)(C)O)cc2cc1NC(=O)c1cccc(n1)C(F)(F)F,7.585026652029183,bayer,0.83161485,0.0,1.2205745,1.0,0.8399644,0,1.2109408,1,1.5118263,1,1.1270645,1,1.0430822,1,0.8976789,0,1.1636591,0,0.9200373,0,0.8995826,0,0.8161699,0,1.0981296,0,1.0137551,1
COc1cc2nn(CC(=O)N3CCC(CC3)C(C)(C)O)cc2cc1NC(=O)c1cccc(C)n1,7.5376020021010435,bayer,0.9306337,0.0,1.5426614,1.0,0.7407235,0,1.4439594,1,0.9046172,0,0.8758075,0,0.96743506,0,0.90149236,0,1.17422,0,0.9265622,0,0.8951755,0,0.8015604,0,1.1035446,0,1.0134203,1
Cl.COc1cc2nn(CC(=O)N3CCN(CC4CC4)CC3)cc2cc1NC(=O)c1cccc(n1)C(F)(F)F,7.494850021680094,bayer,0.79437673,0.0,1.3186586,1.0,0.80940044,0,1.1120324,1,2.8934886,1,1.0122081,1,1.0564376,1,0.8831271,0,1.144094,0,0.9153671,0,0.89796436,0,0.82754767,1,1.1098229,0,1.0127717,0
COc1cc2nn(CC(=O)N3CCN(CC4CC4)CC3)cc2cc1NC(=O)c1cccc(C)n1,7.045757490560675,bayer,1.1429492,,1.2877243,,0.8403541,0,1.4536327,1,0.7663609,0,1.0847958,1,1.0514137,1,0.88157326,0,1.1478344,0,0.9419849,1,0.8945147,0,0.7951619,0,1.1183494,1,1.0135953,1
COc1cc2nn(CC(=O)N3CCN(CC3)C(=O)c3ccccc3)cc2cc1NC(=O)c1cccc(n1)C1CC1,7.397940008672037,bayer,1.0180714,0.0,0.58330894,0.0,1.2803519,1,1.2945348,1,1.3652343,1,1.0038515,1,1.0497196,1,0.889604,0,1.1682814,0,0.9299184,1,0.900809,0,0.7880401,0,1.1146525,1,1.014985,1
