smiles,pIC50,patent_cie,target_2targs_power6_seed19_targid0_continuous,target_2targs_power6_seed19_targid0,target_2targs_power6_seed19_targid1_continuous,target_2targs_power6_seed19_targid1,target_1targs_power6_seed19_targid0_continuous,target_1targs_power6_seed19_targid0,target_1targs_power6_seed20_targid0_continuous,target_1targs_power6_seed20_targid0,target_1targs_power6_seed21_targid0_continuous,target_1targs_power6_seed21_targid0,target_1targs_power6_seed22_targid0_continuous,target_1targs_power6_seed22_targid0,target_1targs_power6_seed23_targid0_continuous,target_1targs_power6_seed23_targid0,target_2targs_power15_seed19_targid0_continuous,target_2targs_power15_seed19_targid0,target_2targs_power15_seed19_targid1_continuous,target_2targs_power15_seed19_targid1,target_1targs_power15_seed19_targid0_continuous,target_1targs_power15_seed19_targid0,target_1targs_power15_seed20_targid0_continuous,target_1targs_power15_seed20_targid0,target_1targs_power15_seed21_targid0_continuous,target_1targs_power15_seed21_targid0,target_1targs_power15_seed22_targid0_continuous,target_1targs_power15_seed22_targid0,target_1targs_power15_seed23_targid0_continuous,target_1targs_power15_seed23_targid0
Cn1cc(NC(=O)c2cnn3ccc(N[C@H]4COCC[C@H]4N)nc23)c(n1)C(N)=O,7.508638306165728,merck,0.78232706,0,1.4436858,0,0.7252276,0,0.90636015,0,1.4993246,1,1.3144914,1,0.87855786,0,1.2627915,1,0.91553223,0,1.3192036,1,0.92311203,0,1.1860976,0,0.8860187,1,1.1170696,1
OC(=O)C(F)(F)F.Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCOC[C@@H]4N)nc23)c(n1)C(N)=O,9.221848749616356,merck,1.1429111,0,1.735817,1,1.0729609,0,0.9147068,0,1.744209,1,1.0647919,1,1.3632479,1,1.2553521,0,0.9307447,1,1.3176779,1,0.9320765,0,1.1888549,0,0.8931477,1,1.1145862,1
OC(=O)C(F)(F)F.Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC(F)(F)[C@@H]4N)nc23)c(n1)C(N)=O,7.494850021680094,merck,1.5042416,1,1.6956245,1,1.3012716,1,1.4044034,1,1.7618183,1,1.2988415,1,0.9736992,0,1.254032,0,0.95266736,1,1.3169562,1,0.9391658,1,1.1883391,0,0.8937838,1,1.1025826,0
N[C@@H]1CCCC[C@@H]1Nc1ccn2ncc(C(=O)Nc3cn(nc3C(N)=O)-c3cccnc3)c2n1,9.096910013008056,merck,1.3888578,1,1.3078941,0,1.2297695,1,0.633438,0,0.6447473,0,0.8395417,0,1.4294932,1,1.2652333,1,0.905125,0,1.3172085,1,0.9190256,0,1.2060821,0,0.8782995,0,1.0917064,0
OC(=O)C(F)(F)F.Cn1cc(NC(=O)c2cnn3ccc(N[C@H]4CCCC[C@H]4N)nc23)c(n1)C(N)=O,8.096910013008056,merck,2.1703773,1,1.5747275,1,1.8913938,1,1.3233763,1,1.3046975,1,0.9499429,1,1.2496655,1,1.248911,0,0.95934457,1,1.3114119,0,0.9376958,1,1.1963729,0,0.89057994,1,1.1058127,0
OC(=O)C(F)(F)F.Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@H]4N)nc23)c(n1)C(N)=O,7.698970004336019,merck,2.1703773,1,1.5747275,1,1.8913938,1,1.3233763,1,1.3046975,1,0.9499429,1,1.2496655,1,1.248911,0,0.95934457,1,1.3114119,0,0.9376958,1,1.1963729,0,0.89057994,1,1.1058127,0
OC(=O)C(F)(F)F.Cn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4N)nc23)c(n1)C(N)=O,9.397940008672036,merck,2.1703773,1,1.5747275,1,1.8913938,1,1.3233763,1,1.3046975,1,0.9499429,1,1.2496655,1,1.248911,0,0.95934457,1,1.3114119,0,0.9376958,1,1.1963729,0,0.89057994,1,1.1058127,0
OC(=O)C(F)(F)F.CN1CCCC(C1)n1cc(NC(=O)c2cnn3ccc(N[C@H]4CCCC[C@H]4N)nc23)c(n1)C(N)=O,7.602059991327962,merck,0.5648406,0,1.216785,0,0.52444685,0,1.3806527,1,0.8775717,0,0.71882397,0,0.97744745,0,1.2700114,1,0.93512356,1,1.3382819,1,0.9378131,1,1.204096,0,0.8906885,1,1.0907624,0
NCCNc1ccn2ncc(C(=O)Nc3cn(nc3C(N)=O)-c3cccnc3)c2n1,9.154901959985745,merck,0.47852367,0,1.7693896,1,0.3994537,0,0.9731854,1,1.4596412,1,1.389587,1,1.1783756,1,1.2792695,1,0.9033909,0,1.3409092,1,0.92977655,0,1.2248554,1,0.87638766,0,1.0787314,0
OC(=O)C(F)(F)F.Cn1cc(NC(=O)c2cnn3ccc(NC4CCCC4N)nc23)c(n1)C(N)=O,7.022276394711152,merck,1.9612844,1,1.8694531,1,1.9187937,1,1.27022,1,1.5074137,1,0.632625,0,1.3270762,1,1.2578984,1,0.9502001,1,1.331314,1,0.9438818,1,1.19538,0,0.88464975,1,1.0972642,0
Cn1cc(NC(=O)c2cnn3ccc(NC4CCCCCC4N)nc23)c(n1)C(N)=O,8.698970004336019,merck,2.0455244,1,2.2191834,1,1.6774983,1,0.8223233,0,0.776147,0,0.8733343,1,1.0036304,0,1.253649,0,0.92667335,1,1.310159,0,0.9144958,0,1.1960201,0,0.8764126,0,1.0990437,0
Cl.Cn1cc(NC(=O)c2cnn3ccc(NC4CCNC4)nc23)c(n1)C(N)=O,6.920818753952375,merck,0.47790697,0,1.505938,1,0.42192805,0,1.0567235,1,1.0332739,1,1.0864096,1,1.0812864,0,1.2730293,1,0.93940496,1,1.3434777,1,0.93010384,0,1.2174242,1,0.87188536,0,1.0869429,0
Cl.Cn1cc(NC(=O)c2cnn3ccc(NC4CCCNC4)nc23)c(n1)C(N)=O,7.481486060122112,merck,0.7933196,0,1.7835158,1,0.78828,0,0.83152324,0,1.3452775,1,1.3983858,1,1.2201351,1,1.2650751,1,0.94894856,1,1.323323,1,0.9247328,0,1.2168982,1,0.8767054,0,1.0971036,0
OC(=O)C(F)(F)F.CNC(=O)c1nn(C)cc1NC(=O)c1cnn2ccc(N[C@H]3CCCC[C@H]3N)nc12,7.744727494896692,merck,2.0479784,1,2.025992,1,1.9187648,1,1.2337744,1,1.03838,1,1.3515159,1,1.1885655,1,1.2465651,0,0.96397,1,1.3140643,1,0.93779224,1,1.1932752,0,0.9004932,1,1.1044056,0
OC(=O)C(F)(F)F.CN(C)C(=O)c1nn(C)cc1NC(=O)c1cnn2ccc(N[C@H]3CCCC[C@H]3N)nc12,6.823908740944319,merck,1.902365,1,0.7868314,0,1.6832149,1,0.65496695,0,0.7852679,0,0.63968563,0,1.1686106,1,1.2636135,1,0.97680396,1,1.3244534,1,0.9344982,0,1.2107027,1,0.8879375,1,1.0943514,0
OC(=O)C(F)(F)F.CN1CCC(CC1)n1cc(NC(=O)c2cnn3ccc(N[C@H]4CCCC[C@H]4N)nc23)c(n1)C(N)=O,8.698970004336019,merck,0.92271644,0,0.82944286,0,0.81311846,0,1.107863,1,0.8530941,0,0.77836317,0,0.97311854,0,1.2692688,1,0.9324038,1,1.3361629,1,0.936386,1,1.205246,0,0.88847405,1,1.0938745,0
OC(=O)C(F)(F)F.CCn1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4N)nc23)c(n1)C(N)=O,9.221848749616356,merck,1.0596426,0,1.6796439,1,0.85396624,0,0.97709906,1,0.94374716,0,1.7134032,1,1.4249998,1,1.2621309,1,0.9675962,1,1.3227464,1,0.93877655,1,1.2137139,1,0.88925093,1,1.1017928,0
OC(=O)C(F)(F)F.CC(C)n1cc(NC(=O)c2cnn3ccc(N[C@@H]4CCCC[C@@H]4N)nc23)c(n1)C(N)=O,9.0,merck,2.1931896,1,1.9704329,1,1.9161828,1,1.1241148,1,0.9809904,1,1.4267937,1,1.2345475,1,1.2597291,1,0.9544347,1,1.3223083,1,0.93672377,1,1.2001259,0,0.8976693,1,1.0968469,0
OC(=O)C(F)(F)F.N[C@H]1CCCC[C@H]1Nc1ccn2ncc(C(=O)Nc3cn(CCO)nc3C(N)=O)c2n1,9.0,merck,2.0405962,1,2.0313592,1,1.8752109,1,1.3389416,1,0.8757784,0,1.6383173,1,1.077916,0,1.2474926,0,0.9331511,1,1.3098693,0,0.9490148,1,1.2056987,0,0.8979303,1,1.1124154,1
