smiles,pIC50,patent_cie,target_2targs_power6_seed19_targid0_continuous,target_2targs_power6_seed19_targid0,target_2targs_power6_seed19_targid1_continuous,target_2targs_power6_seed19_targid1,target_1targs_power6_seed19_targid0_continuous,target_1targs_power6_seed19_targid0,target_1targs_power6_seed20_targid0_continuous,target_1targs_power6_seed20_targid0,target_1targs_power6_seed21_targid0_continuous,target_1targs_power6_seed21_targid0,target_1targs_power6_seed22_targid0_continuous,target_1targs_power6_seed22_targid0,target_1targs_power6_seed23_targid0_continuous,target_1targs_power6_seed23_targid0,target_2targs_power15_seed19_targid0_continuous,target_2targs_power15_seed19_targid0,target_2targs_power15_seed19_targid1_continuous,target_2targs_power15_seed19_targid1,target_1targs_power15_seed19_targid0_continuous,target_1targs_power15_seed19_targid0,target_1targs_power15_seed20_targid0_continuous,target_1targs_power15_seed20_targid0,target_1targs_power15_seed21_targid0_continuous,target_1targs_power15_seed21_targid0,target_1targs_power15_seed22_targid0_continuous,target_1targs_power15_seed22_targid0,target_1targs_power15_seed23_targid0_continuous,target_1targs_power15_seed23_targid0
CC[C@H]1[C@@H](COc2nccc3cc(C(N)=O)c(OC)cc23)NC(=O)[C@@H]1F,10.0,pfizer,1.258952,1,1.4845788,1,0.7113615,0,0.6322011,0,0.8166366,0,1.4862304,1,0.66910636,0,1.0107268,1,1.204714,0,0.83485234,1,0.8819551,1,0.9554118,0,0.8256817,1,0.934906,1
CC[C@H]1[C@@H](COc2ncc(F)c3cc(C(N)=O)c(OC)cc23)NC(=O)[C@H]1F,10.0,pfizer,1.258952,1,1.4845788,1,0.7113615,0,0.6322011,0,0.8166366,0,1.4862304,1,0.66910636,0,1.0107268,1,1.204714,0,0.83485234,1,0.8819551,1,0.9554118,0,0.8256817,1,0.934906,1
COc1cc2c(OC[C@H]3NC(=O)[C@@H](F)[C@H]3CCF)nccc2cc1C(N)=O,10.0,pfizer,1.5624247,1,1.2584922,0,1.2021457,1,0.93002933,0,0.82247865,0,1.869234,1,0.7738402,0,1.0008154,1,1.2082798,0,0.8261634,1,0.9018308,1,0.9610571,0,0.8208436,1,0.9137987,0
[2H][C@@]1(F)C(=O)N[C@H](COc2nccc3cc(C(N)=O)c(OC)cc23)[C@]1([2H])CC,10.0,pfizer,1.4712969,1,1.6279119,1,0.87791497,0,0.42863598,0,0.76548725,0,0.76569015,0,0.7632643,0,1.0166632,1,1.2246478,1,0.82869077,1,0.89249516,1,0.9492021,0,0.8236452,1,0.92923343,1
COc1cc2c(OC[C@@H]3CC(F)(F)C(=O)N3)nccc2cc1C(N)=O,9.69897000433602,pfizer,2.086266,1,1.834207,1,1.0690587,1,1.8281621,1,0.8470002,0,2.31833,1,0.6108402,0,1.002412,1,1.1891156,0,0.82952005,1,0.8897171,1,0.9519339,0,0.81734,1,0.9341157,1
CC(C)Oc1cc2c(OC[C@H]3NC(=O)C(F)(F)[C@H]3C)nccc2cc1C(N)=O,9.69897000433602,pfizer,0.98322445,0,1.2645121,0,0.7633161,0,2.1484644,1,1.3099833,1,2.2127705,1,1.0388346,1,0.9823173,0,1.1840281,0,0.8213592,1,0.8466436,0,0.94393724,0,0.7955785,1,0.92187095,1
COc1cc2c(OC[C@H]3NC(=O)[C@]4(C)C[C@H]34)nccc2cc1C(N)=O,9.69897000433602,pfizer,1.9343209,1,1.444909,1,1.2065701,1,1.7216927,1,0.8592066,0,0.7060267,0,0.7088356,0,1.018095,1,1.245423,1,0.82143146,1,0.9240744,1,0.95872426,0,0.79499763,0,0.9258888,1
COc1cc2c(OC[C@H]3NC(=O)[C@]4(F)[C@@H](C)[C@H]34)ccnc2cc1C(N)=O,9.69897000433602,pfizer,1.867377,1,2.923143,1,0.83397347,0,1.0559629,1,1.0796384,1,1.448534,1,1.0474882,1,0.99801105,1,1.2127695,1,0.8196782,1,0.89428943,1,0.94854206,0,0.8029142,1,0.90963244,0
[2H]C([2H])([2H])Oc1cc2c(OC[C@H]3NC(=O)[C@@H](F)[C@H]3CC)nccc2cc1C(N)=O,9.69897000433602,pfizer,1.1430662,1,1.3648155,1,0.70072484,0,0.93252367,0,0.8497282,0,0.87043977,0,0.63742983,0,1.0109676,1,1.2007072,0,0.8364561,1,0.88850385,1,0.9510137,0,0.8340818,1,0.9303955,1
[2H]C([2H])([2H])C([2H])([2H])[C@H]1[C@@H](COc2nccc3cc(C(N)=O)c(OC)cc23)NC(=O)[C@H]1F,9.69897000433602,pfizer,1.1430662,1,1.3648155,1,0.70072484,0,0.93252367,0,0.8497282,0,0.87043977,0,0.63742983,0,1.0109676,1,1.2007072,0,0.8364561,1,0.88850385,1,0.9510137,0,0.8340818,1,0.9303955,1
