smiles,pIC50,patent_cie,target_2targs_power6_seed19_targid0_continuous,target_2targs_power6_seed19_targid0,target_2targs_power6_seed19_targid1_continuous,target_2targs_power6_seed19_targid1,target_1targs_power6_seed19_targid0_continuous,target_1targs_power6_seed19_targid0,target_1targs_power6_seed20_targid0_continuous,target_1targs_power6_seed20_targid0,target_1targs_power6_seed21_targid0_continuous,target_1targs_power6_seed21_targid0,target_1targs_power6_seed22_targid0_continuous,target_1targs_power6_seed22_targid0,target_1targs_power6_seed23_targid0_continuous,target_1targs_power6_seed23_targid0,target_2targs_power15_seed19_targid0_continuous,target_2targs_power15_seed19_targid0,target_2targs_power15_seed19_targid1_continuous,target_2targs_power15_seed19_targid1,target_1targs_power15_seed19_targid0_continuous,target_1targs_power15_seed19_targid0,target_1targs_power15_seed20_targid0_continuous,target_1targs_power15_seed20_targid0,target_1targs_power15_seed21_targid0_continuous,target_1targs_power15_seed21_targid0,target_1targs_power15_seed22_targid0_continuous,target_1targs_power15_seed22_targid0,target_1targs_power15_seed23_targid0_continuous,target_1targs_power15_seed23_targid0
CC1(C)Cc2cc(NC(=O)c3cnn4cccnc34)c(cc2O1)N1CCC(F)(CO)CC1,9.0,roche,0.7582738,0,1.1725261,1,0.6125452,0,0.55989426,0,0.8245107,1,0.5337366,0,0.76745164,0,0.9892703,0,0.9158188,1,1.0836889,0,0.6714649,0,1.1001968,0,0.776442,1,0.8416444,0
CC1(C)Cc2cc(NC(=O)c3cnn4cccnc34)c(cc2O1)N1CCC(CO)CC1,8.823908740944319,roche,1.3502644,1,0.8282732,0,1.3748931,1,0.52923334,0,0.58817226,0,0.59753036,0,0.7542085,0,0.9861246,0,0.90715086,1,1.0922427,0,0.678236,1,1.1022913,1,0.7744506,1,0.84330773,0
Cc1cnc2c(cnn2c1)C(=O)Nc1cc2CC(C)(CO)Oc2cc1N1CCC(CO)CC1,8.721246399047171,roche,0.64672714,0,0.55638206,0,1.1800603,1,0.8963733,1,0.83391887,1,0.4684269,0,0.94610935,1,0.9918187,0,0.8807957,0,1.1340461,1,0.6932925,1,1.0995054,0,0.7731613,0,0.8431611,0
Cc1cnc2c(cnn2c1)C(=O)Nc1cc2CC(C)(C)Oc2cc1N1CCC(CO)CC1,8.698970004336019,roche,1.3625181,1,0.9489005,1,1.1575758,1,0.70049536,0,0.5337992,0,0.59626025,0,0.79464376,0,0.9864609,0,0.90769964,1,1.0937579,0,0.6942703,1,1.0969003,0,0.7751372,1,0.8483559,1
CC1(C)Cc2cc(NC(=O)c3cnn4cccnc34)c(cc2O1)N1CCN(CC(F)F)CC1,8.638272163982407,roche,1.0989776,1,1.5358632,1,0.7678096,0,0.9401455,1,0.7245791,0,1.0030707,1,0.9067559,1,1.000615,1,0.8771702,0,1.1327112,1,0.66000104,0,1.1064843,1,0.7781283,1,0.8380058,0
CC1(C)Cc2cc(NC(=O)c3cnn4cccnc34)c(cc2O1)N1CCC(CC1)C(N)C(F)(F)F,8.537602002101043,roche,0.7878523,0,0.55523044,0,1.5064583,1,1.1532508,1,0.84892285,1,1.1581388,1,0.9884538,1,1.0032218,1,0.88520193,0,1.1344889,1,0.6657168,0,1.0920258,0,0.77401125,1,0.8464926,0
CC1(CO)Cc2cc(NC(=O)c3cnn4cccnc34)c(cc2O1)N1CCN(CC(F)F)CC1,8.481486060122112,roche,1.0122364,0,0.4397687,0,2.2120028,1,0.3584194,0,0.8932703,1,0.4936261,0,0.7595308,0,0.9780392,0,0.895476,1,1.1137034,0,0.6567598,0,1.1097329,1,0.77419025,1,0.8424016,0
Cc1cnc2c(cnn2c1)C(=O)Nc1cc2NCCOc2cc1N1CCC(CO)CC1,8.4089353929735,roche,1.0048535,0,2.4350057,1,0.43775254,0,1.776406,1,0.7952429,0,0.6908325,1,0.7538482,0,0.9664764,0,0.9261091,1,1.0742704,0,0.69419765,1,1.120697,1,0.76236385,0,0.84312,0
OCC1CCN(CC1)c1cc2OCCNc2cc1NC(=O)c1cnn2cccnc12,8.327902142064282,roche,1.1279305,1,1.3995306,1,0.75052273,0,1.0637853,1,0.66953343,0,0.6210536,0,0.6327933,0,0.97946256,0,0.90608656,1,1.1013389,0,0.6872033,1,1.1236491,1,0.76362884,0,0.8416178,0
CC1(C)Cc2cc(NC(=O)c3cnn4cccnc34)c(cc2O1)N1CCOCC1,8.301029995663981,roche,1.2551736,1,1.8022001,1,0.70697665,0,0.3536669,0,0.8446613,1,0.72099936,1,0.8797058,1,0.9875811,0,0.8960396,1,1.1018946,0,0.6634438,0,1.1070299,1,0.7685911,0,0.83722734,0
